START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
6/3/2018,1:15 PM,2:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,6/3/2018,6/3/2018,4:15 PM,5:15 PM,FALSE,TRUE,6/3/2018,12:15 PM,1:15 PM,FREE,BUSY
6/4/2018,9:07 PM,10:07 PM,Royals at Angels,Angel Stadium of Anaheim - Anaheim,Local TV: FSKC,6/5/2018,6/5/2018,12:07 AM,1:07 AM,FALSE,TRUE,6/4/2018,8:07 PM,9:07 PM,FREE,BUSY
6/5/2018,9:07 PM,10:07 PM,Royals at Angels,Angel Stadium of Anaheim - Anaheim,Local TV: FSKC,6/6/2018,6/6/2018,12:07 AM,1:07 AM,FALSE,TRUE,6/5/2018,8:07 PM,9:07 PM,FREE,BUSY
6/6/2018,9:07 PM,10:07 PM,Royals at Angels,Angel Stadium of Anaheim - Anaheim,Local TV: FSKC,6/7/2018,6/7/2018,12:07 AM,1:07 AM,FALSE,TRUE,6/6/2018,8:07 PM,9:07 PM,FREE,BUSY
6/7/2018,9:05 PM,10:05 PM,Royals at Athletics,Oakland Coliseum - Oakland,Local TV: FSKC,6/8/2018,6/8/2018,12:05 AM,1:05 AM,FALSE,TRUE,6/7/2018,8:05 PM,9:05 PM,FREE,BUSY
6/8/2018,9:05 PM,10:05 PM,Royals at Athletics,Oakland Coliseum - Oakland,Local TV: FSKC,6/9/2018,6/9/2018,12:05 AM,1:05 AM,FALSE,TRUE,6/8/2018,8:05 PM,9:05 PM,FREE,BUSY
6/9/2018,3:05 PM,4:05 PM,Royals at Athletics,Oakland Coliseum - Oakland,Local TV: FSKC,6/9/2018,6/9/2018,6:05 PM,7:05 PM,FALSE,TRUE,6/9/2018,2:05 PM,3:05 PM,FREE,BUSY
6/10/2018,3:05 PM,4:05 PM,Royals at Athletics,Oakland Coliseum - Oakland,Local TV: FSKC,6/10/2018,6/10/2018,6:05 PM,7:05 PM,FALSE,TRUE,6/10/2018,2:05 PM,3:05 PM,FREE,BUSY
6/12/2018,7:15 PM,8:15 PM,Reds at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/12/2018,6/12/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/12/2018,6:15 PM,7:15 PM,FREE,BUSY
6/13/2018,7:15 PM,8:15 PM,Reds at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/13/2018,6/13/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/13/2018,6:15 PM,7:15 PM,FREE,BUSY
6/15/2018,7:15 PM,8:15 PM,Astros at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/15/2018,6/15/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/15/2018,6:15 PM,7:15 PM,FREE,BUSY
6/16/2018,1:15 PM,2:15 PM,Astros at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,6/16/2018,6/16/2018,4:15 PM,5:15 PM,FALSE,TRUE,6/16/2018,12:15 PM,1:15 PM,FREE,BUSY
6/17/2018,1:15 PM,2:15 PM,Astros at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/17/2018,6/17/2018,4:15 PM,5:15 PM,FALSE,TRUE,6/17/2018,12:15 PM,1:15 PM,FREE,BUSY
6/18/2018,7:15 PM,8:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/18/2018,6/18/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/18/2018,6:15 PM,7:15 PM,FREE,BUSY
6/19/2018,7:15 PM,8:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/19/2018,6/19/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/19/2018,6:15 PM,7:15 PM,FREE,BUSY
6/20/2018,7:15 PM,8:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,6/20/2018,6/20/2018,10:15 PM,11:15 PM,FALSE,TRUE,6/20/2018,6:15 PM,7:15 PM,FREE,BUSY
6/22/2018,7:10 PM,8:10 PM,Royals at Astros,Minute Maid Park - Houston,Local TV: FSKC,6/22/2018,6/22/2018,10:10 PM,11:10 PM,FALSE,TRUE,6/22/2018,6:10 PM,7:10 PM,FREE,BUSY
6/23/2018,6:15 PM,7:15 PM,Royals at Astros,Minute Maid Park - Houston,Local TV: FOX,6/23/2018,6/23/2018,9:15 PM,10:15 PM,FALSE,TRUE,6/23/2018,5:15 PM,6:15 PM,FREE,BUSY
6/24/2018,1:10 PM,2:10 PM,Royals at Astros,Minute Maid Park - Houston,Local TV: FSKC,6/24/2018,6/24/2018,4:10 PM,5:10 PM,FALSE,TRUE,6/24/2018,12:10 PM,1:10 PM,FREE,BUSY
6/26/2018,7:10 PM,8:10 PM,Royals at Brewers,Miller Park - Milwaukee,Local TV: FSKC,6/26/2018,6/26/2018,10:10 PM,11:10 PM,FALSE,TRUE,6/26/2018,6:10 PM,7:10 PM,FREE,BUSY
6/27/2018,1:10 PM,2:10 PM,Royals at Brewers,Miller Park - Milwaukee,Local TV: FSKC,6/27/2018,6/27/2018,4:10 PM,5:10 PM,FALSE,TRUE,6/27/2018,12:10 PM,1:10 PM,FREE,BUSY
6/29/2018,9:10 PM,10:10 PM,Royals at Mariners,Safeco Field - Seattle,Local TV: FSKC,6/30/2018,6/30/2018,12:10 AM,1:10 AM,FALSE,TRUE,6/29/2018,8:10 PM,9:10 PM,FREE,BUSY
